timestamp;buyer;seller;symbol;currency;price;quantity;day
2500;;;VELVETFRUIT_EXTRACT;XIRECS;5250.0;4;0
2900;;;VEV_5400;XIRECS;22.0;3;0
2900;;;VEV_5500;XIRECS;8.0;3;0
2900;;;VEV_6000;XIRECS;0.0;3;0
2900;;;VEV_6500;XIRECS;0.0;3;0
5200;;;VELVETFRUIT_EXTRACT;XIRECS;5236.0;3;0
5500;;;VELVETFRUIT_EXTRACT;XIRECS;5241.0;8;0
8000;;;HYDROGEL_PACK;XIRECS;10018.0;6;0
9000;;;VEV_4000;XIRECS;1222.0;2;0
9300;;;VELVETFRUIT_EXTRACT;XIRECS;5229.0;6;0
10100;;;HYDROGEL_PACK;XIRECS;10014.0;5;0
11100;;;VEV_4000;XIRECS;1246.0;1;0
11900;;;VELVETFRUIT_EXTRACT;XIRECS;5237.0;4;0
14000;;;VELVETFRUIT_EXTRACT;XIRECS;5243.0;7;0
15200;;;VEV_5400;XIRECS;21.0;5;0
15200;;;VEV_5500;XIRECS;7.0;5;0
15200;;;VEV_6000;XIRECS;0.0;5;0
15200;;;VEV_6500;XIRECS;0.0;5;0
15300;;;HYDROGEL_PACK;XIRECS;10026.0;3;0
15400;;;VEV_4000;XIRECS;1232.0;3;0
15700;;;HYDROGEL_PACK;XIRECS;10009.0;2;0
16400;;;HYDROGEL_PACK;XIRECS;10009.0;4;0
17000;;;VELVETFRUIT_EXTRACT;XIRECS;5239.0;6;0
18600;;;VEV_4000;XIRECS;1247.0;3;0
19900;;;VELVETFRUIT_EXTRACT;XIRECS;5236.0;7;0
20300;;;HYDROGEL_PACK;XIRECS;10002.0;5;0
20500;;;HYDROGEL_PACK;XIRECS;10000.0;3;0
20700;;;VELVETFRUIT_EXTRACT;XIRECS;5238.0;5;0
22500;;;VELVETFRUIT_EXTRACT;XIRECS;5234.0;4;0
23200;;;VELVETFRUIT_EXTRACT;XIRECS;5234.0;4;0
